# n,	pan,	tilt,	rvecs,	,	,	tvecs,	,	
1,	0.385556,	0.901778,	7.514437908919183728e-01,	4.853831987730106157e-01,	2.926848310741570369e+00,	4.120412475231906768e+01,	9.586804279653083682e+00,	6.584711686535662523e+01
2,	0.37298655,	0.901778,	6.778721869249564325e-01,	4.572205410032418316e-01,	2.941037945237721551e+00,	3.800978521300733348e+01,	9.738218159781199645e+00,	6.777887508837433472e+01
3,	0.3604171,	0.901778,	6.049152714634780104e-01,	4.740931762875942312e-01,	2.952891030571617392e+00,	3.451215981931338206e+01,	9.821023163436548131e+00,	6.913737939763676366e+01
4,	0.34784765,	0.901778,	5.361785162718374353e-01,	4.566257710286701355e-01,	2.961850237161798738e+00,	3.102269152160866739e+01,	9.920933227464628246e+00,	7.054337643090346432e+01
5,	0.3352782,	0.901778,	4.660643032204485614e-01,	4.419154440645411963e-01,	2.970139014685345025e+00,	2.750046781458955181e+01,	1.002143801820823299e+01,	7.182229752070598749e+01
6,	0.32270875,	0.901778,	3.577088187604596237e-01,	4.421657718300722184e-01,	2.980428121528199359e+00,	2.397415166612348969e+01,	1.012214037375476394e+01,	7.307547108001470804e+01
7,	0.3101393,	0.901778,	2.965691830225132275e-01,	4.276322691079985638e-01,	2.987199500325574686e+00,	2.029326458202342565e+01,	1.018771382700084693e+01,	7.388430632103427342e+01
8,	0.29756985,	0.901778,	2.494581173804311935e-01,	4.334115082532566388e-01,	2.986157118480869066e+00,	1.661519206436042850e+01,	1.024196836154214729e+01,	7.469027939203294864e+01
9,	0.2850004,	0.901778,	1.711909655776810424e-01,	4.009160640007171650e-01,	2.991633581918875961e+00,	1.294112910269192973e+01,	1.032602687965271038e+01,	7.549402379181384504e+01
10,	0.27243095,	0.901778,	1.270473475898637461e-01,	4.021461749123266816e-01,	2.989595315050134428e+00,	9.226402636360724330e+00,	1.036442967490426170e+01,	7.588583110802467502e+01
11,	0.2598615,	0.901778,	8.097011866571646177e-02,	4.323838954644550481e-01,	2.985039128982613477e+00,	5.505106490933954433e+00,	1.038614508355880339e+01,	7.613154575310838368e+01
12,	0.24729205,	0.901778,	-4.197676366816228445e-03,	3.638568970968769078e-01,	2.990349315722748536e+00,	1.748176662764309386e+00,	1.046794000526614887e+01,	7.664141227204376605e+01
13,	0.2347226,	0.901778,	-8.009191656742574439e-02,	3.864508428233755510e-01,	2.984382327350583175e+00,	-1.979526141273351580e+00,	1.044205488284316630e+01,	7.626634442806025049e+01
14,	0.22215315,	0.901778,	-9.327119405035270983e-02,	3.391768324386154609e-01,	2.985653188623843324e+00,	-5.753869011711927328e+00,	1.047024867942841198e+01,	7.620169331149314473e+01
15,	0.2095837,	0.901778,	-2.177858577321366007e-01,	3.040696509085437649e-01,	2.983777767921650614e+00,	-9.514332729936404220e+00,	1.051884416947379108e+01,	7.613656386711150503e+01
16,	0.19701425,	0.901778,	-2.959182702612778715e-01,	3.229770049869069015e-01,	2.972557177945720497e+00,	-1.323715390604066933e+01,	1.050586103419119688e+01,	7.557127852188607164e+01
17,	0.1844448,	0.901778,	-3.260411214965565629e-01,	3.198186020147741337e-01,	2.965181278279115151e+00,	-1.695311372016146123e+01,	1.048222501785014593e+01,	7.488524119778324462e+01
18,	0.17187535,	0.901778,	-4.462010944597450401e-01,	3.505024787016089993e-01,	2.944886984707292932e+00,	-2.056715529643995666e+01,	1.044965018167114934e+01,	7.401180400932912562e+01
19,	0.1593059,	0.901778,	-5.065108826355997351e-01,	3.271704465506707349e-01,	2.932554972625140532e+00,	-2.421421486400451784e+01,	1.040751902224900149e+01,	7.312144538980408015e+01
20,	0.14673645,	0.901778,	-8.496115438878626414e-01,	-4.830157709414871492e-02,	2.931633373383435881e+00,	-2.807182401069877287e+01,	1.041058223769741531e+01,	7.255536099115887794e+01
21,	0.134167,	0.901778,	-5.800627036668071224e-01,	3.846692075575269265e-01,	2.894365050948587204e+00,	-3.113772802699419628e+01,	1.022832540703253734e+01,	7.027288837172307012e+01
